#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
SDSS15461 999 0.180000 999 20.357195 999 -0.162100 0.207904 -0.100207 0.026104 999 999 54036.984187 0.173312 999 999 999 999 999 999 999 1.293068e-04 3.852101e-06
05D2le 999 0.700000 999 23.949761 999 0.495389 0.307466 -0.016093 0.049602 999 999 53694.970789 0.413202 999 999 999 999 999 999 999 4.733779e-06 1.549530e-07
SDSS3451 999 0.250000 999 20.952140 999 0.651722 0.314306 -0.054847 0.037685 999 999 53645.181180 0.306529 999 999 999 999 999 999 999 7.478332e-05 2.793951e-06
04D3dd 999 1.002000 999 24.973069 999 0.740021 0.682469 -0.013919 0.072117 999 999 53113.472838 1.158517 999 999 999 999 999 999 999 1.795935e-06 1.575665e-07
05D2ci 999 0.630000 999 23.604418 999 -0.942637 0.243583 0.084599 0.065042 999 999 53427.846640 0.271368 999 999 999 999 999 999 999 6.519619e-06 2.664661e-07
sn2003u 999 0.028341 999 16.462972 999 -2.090338 0.294683 -0.032576 0.026591 999 999 52677.456642 0.137864 999 999 999 999 999 999 999 4.643346e-03 1.330176e-04
Eagle 999 1.020000 999 24.965376 999 0.305450 0.291794 -0.103657 0.060279 999 999 53295.094707 0.698367 999 999 999 999 999 999 999 1.862630e-06 5.343247e-08
05D3ci 999 0.515000 999 23.628877 999 2.165296 0.581317 0.168597 0.043545 999 999 53432.384829 0.408968 999 999 999 999 999 999 999 6.367978e-06 3.837869e-07
SDSS14212 999 0.205400 999 20.910807 999 -0.339449 0.173104 -0.032367 0.031927 999 999 54012.948731 0.182859 999 999 999 999 999 999 999 7.765180e-05 2.527844e-06
sn1996bv 999 0.016672 999 15.333808 999 0.822154 0.270698 0.164301 0.028507 999 999 50404.162639 0.617214 999 999 999 999 999 999 999 1.311675e-02 4.660961e-04
03D4gf 999 0.580000 999 23.325716 999 0.510362 0.313115 -0.035659 0.037783 999 999 52936.582130 0.413091 999 999 999 999 999 999 999 8.413921e-06 2.050706e-07
05D4ef 999 0.605000 999 23.832619 999 -1.554677 0.207811 -0.071677 0.035917 999 999 53625.594062 0.279174 999 999 999 999 999 999 999 5.272764e-06 1.535687e-07
SDSS15433 999 0.221100 999 20.942474 999 -0.087186 0.258268 -0.067659 0.034767 999 999 54037.383012 0.249896 999 999 999 999 999 999 999 7.545110e-05 2.586828e-06
SDSS21502 999 0.089160 999 18.823327 999 -0.319563 0.240471 -0.051393 0.024075 999 999 54427.274817 0.207114 999 999 999 999 999 999 999 5.310177e-04 1.479014e-05
SDSS17811 999 0.200000 999 20.488313 999 1.032017 0.297612 -0.097375 0.026774 999 999 54355.288856 0.273056 999 999 999 999 999 999 999 1.146207e-04 3.722781e-06
SDSS3080 999 0.175000 999 20.240401 999 0.119927 0.188649 -0.049742 0.023767 999 999 53647.652923 0.142853 999 999 999 999 999 999 999 1.439961e-04 4.074419e-06
SDSS12843 999 0.166950 999 20.409732 999 -1.018787 0.299063 0.037450 0.034755 999 999 53982.098753 0.195536 999 999 999 999 999 999 999 1.230971e-04 5.417866e-06
SDSS20111 999 0.245000 999 21.411306 999 -0.029617 0.582961 0.009046 0.044237 999 999 54410.055651 0.489734 999 999 999 999 999 999 999 4.896770e-05 2.071742e-06
sn2002bf 999 0.024396 999 16.322210 999 -0.791884 0.133901 0.148423 0.025424 999 999 52338.363663 0.370978 999 999 999 999 999 999 999 5.276559e-03 2.134230e-04
