#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
04D3ks 999 0.750000 999 23.794878 999 0.610283 0.412424 -0.030879 0.065538 999 999 53163.223472 0.397149 999 999 999 999 999 999 999 5.434863e-06 2.885578e-07
05D1er 999 0.860000 999 24.581795 999 0.481800 0.437262 0.085341 0.071265 999 999 53667.242319 0.582290 999 999 999 999 999 999 999 2.600076e-06 1.199873e-07
SDSS16281 999 0.184000 999 20.471756 999 -0.873314 0.510265 -0.073171 0.032311 999 999 54055.402927 0.345141 999 999 999 999 999 999 999 1.163395e-04 3.853406e-06
04D4in 999 0.516000 999 22.884059 999 1.535665 0.161804 -0.070351 0.036122 999 999 53278.572842 0.145814 999 999 999 999 999 999 999 1.264813e-05 4.053591e-07
SDSS17784 999 0.037070 999 17.320674 999 -0.728491 0.077425 0.060480 0.022270 999 999 54367.037233 0.074749 999 999 999 999 999 999 999 2.121771e-03 5.460913e-05
sn2006qo 999 0.029704 999 16.814762 999 0.466866 0.060424 0.165837 0.027236 999 999 54083.095738 0.067144 999 999 999 999 999 999 999 3.345257e-03 9.234519e-05
SDSS1580 999 0.184000 999 20.270928 999 0.880367 0.231216 -0.038314 0.027725 999 999 53634.026592 0.205129 999 999 999 999 999 999 999 1.401211e-04 4.718911e-06
SDSS15234 999 0.136300 999 20.459137 999 0.900294 0.204769 0.127758 0.028522 999 999 54032.802120 0.198342 999 999 999 999 999 999 999 1.174505e-04 3.667951e-06
sn2007bd 999 0.031018 999 16.559531 999 -1.381121 0.064415 -0.048077 0.026731 999 999 54206.543434 0.056300 999 999 999 999 999 999 999 4.249797e-03 1.114809e-04
sn2007ci 999 0.018126 999 15.875751 999 -2.724017 0.099480 0.026862 0.028329 999 999 54246.654274 0.064112 999 999 999 999 999 999 999 7.983442e-03 2.256816e-04
05D2ct 999 0.734000 999 24.371896 999 0.358237 0.466160 0.093385 0.068350 999 999 53425.177834 0.461694 999 999 999 999 999 999 999 3.197803e-06 1.620905e-07
06D4bo 999 0.552000 999 23.222121 999 0.763385 0.189788 -0.039783 0.035500 999 999 53918.737017 0.277922 999 999 999 999 999 999 999 9.260559e-06 2.753293e-07
SDSS14279 999 0.045390 999 17.545871 999 -0.162455 0.047435 0.090516 0.023035 999 999 54022.045630 0.060997 999 999 999 999 999 999 999 1.721367e-03 4.123506e-05
SDSS10805 999 0.045420 999 17.531302 999 -0.952749 0.402442 0.056675 0.024902 999 999 53698.687664 0.125514 999 999 999 999 999 999 999 1.744928e-03 4.925212e-05
SDSS18835 999 0.123190 999 19.506911 999 0.757718 0.109387 -0.013283 0.022183 999 999 54392.387241 0.117025 999 999 999 999 999 999 999 2.832091e-04 7.128424e-06
SDSS3592 999 0.086420 999 18.763282 999 -0.145332 0.070603 -0.043101 0.020379 999 999 53645.058829 0.061596 999 999 999 999 999 999 999 5.613904e-04 1.354814e-05
sn1992p 999 0.025401 999 16.047849 999 0.743734 0.393973 -0.093531 0.043357 999 999 48718.558226 0.557700 999 999 999 999 999 999 999 6.834854e-03 2.237926e-04
SDSS14331 999 0.214000 999 21.244703 999 0.142078 0.293974 0.014241 0.039147 999 999 54013.472648 0.302213 999 999 999 999 999 999 999 5.707931e-05 2.232323e-06
SDSS18787 999 0.193000 999 21.199891 999 0.145968 0.436992 0.035636 0.033281 999 999 54387.249494 0.448271 999 999 999 999 999 999 999 5.948964e-05 2.112287e-06
05D2ay 999 0.920000 999 24.611448 999 -0.482482 0.598305 0.039717 0.090672 999 999 53375.260724 0.869579 999 999 999 999 999 999 999 2.526583e-06 1.609062e-07
SDSS18650 999 0.114000 999 19.403365 999 0.884955 0.116306 -0.043407 0.022194 999 999 54387.865303 0.128483 999 999 999 999 999 999 999 3.112099e-04 7.987678e-06
SDSS15287 999 0.274000 999 21.160617 999 1.425774 0.314202 -0.072841 0.034781 999 999 54030.381903 0.328804 999 999 999 999 999 999 999 6.174227e-05 1.926177e-06
05D3jh 999 0.718000 999 23.714260 999 -0.624292 0.181952 -0.138134 0.049514 999 999 53492.654491 0.366302 999 999 999 999 999 999 999 5.866765e-06 1.743337e-07
04D1ff 999 0.860000 999 24.217153 999 0.729593 0.399455 0.038771 0.063561 999 999 53251.205411 0.394113 999 999 999 999 999 999 999 3.640340e-06 2.120442e-07
