#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 06D4cq 999 0.411000 999 22.559494 -0.002356 0.432630 0.095272 -0.038834 0.021780 999 999 53947.436739 0.106778 999 999 999 999 999 999 999
 06D2ce 999 0.820000 999 24.159623 0.002508 2.026965 0.904542 -0.002241 0.074787 999 999 53799.737858 1.265360 999 999 999 999 999 999 999
 SDSS20227 999 0.284000 999 21.510558 -0.002657 -1.291676 0.516004 -0.149759 0.046252 999 999 54408.484444 0.533695 999 999 999 999 999 999 999
 sn2005ir 999 0.076000 999 18.410159 -0.002282 0.684299 0.052575 -0.013657 0.014317 999 999 53685.659843 0.048287 999 999 999 999 999 999 999
 05D4bm 999 0.372000 999 22.212626 -0.002358 0.251146 0.069591 -0.065977 0.022289 999 999 53568.061419 0.071436 999 999 999 999 999 999 999
 SDSS22075 999 0.129960 999 19.926413 -0.001980 -1.682220 0.335387 -0.031772 0.029835 999 999 54425.942403 0.328991 999 999 999 999 999 999 999
 SDSS17880 999 0.072670 999 18.982583 -0.001458 -0.923162 0.108910 0.181070 0.025978 999 999 54363.270005 0.157025 999 999 999 999 999 999 999
 SDSS5395 999 0.117000 999 19.460398 -0.001264 1.193494 0.134322 -0.015761 0.021981 999 999 53663.880876 0.147727 999 999 999 999 999 999 999
 sn2006nz 999 0.038090 999 18.130231 -0.002386 -2.862634 0.215852 0.228831 0.020259 999 999 54057.617252 0.100151 999 999 999 999 999 999 999
 03D4gg 999 0.592000 999 23.432316 -0.002347 1.000198 0.436837 0.011622 0.039435 999 999 52943.106200 0.556503 999 999 999 999 999 999 999
 SDSS12972 999 0.258000 999 21.305889 -0.002504 0.115879 0.665187 -0.080916 0.048539 999 999 53980.992773 0.660170 999 999 999 999 999 999 999
 SDSS19775 999 0.137900 999 20.266349 -0.002329 -0.228664 0.199119 0.093694 0.028258 999 999 54404.425670 0.182814 999 999 999 999 999 999 999
 SDSS16185 999 0.097000 999 19.771339 -0.002337 -2.308854 0.224139 0.069988 0.025444 999 999 54053.891344 0.146944 999 999 999 999 999 999 999
 SDSS15129 999 0.198280 999 20.682785 -0.002339 -0.774034 0.223090 -0.070385 0.031580 999 999 54023.823756 0.250836 999 999 999 999 999 999 999
 04D4ju 999 0.472000 999 23.762600 -0.002365 0.448579 0.224334 0.153658 0.034558 999 999 53293.121349 0.285008 999 999 999 999 999 999 999
 SDSS15583 999 0.178000 999 20.734311 -0.001733 -0.296247 0.205562 0.025378 0.030118 999 999 54041.008925 0.189292 999 999 999 999 999 999 999
 SDSS19023 999 0.243000 999 20.841017 -0.002010 1.303634 0.272028 -0.118816 0.035627 999 999 54389.834731 0.278662 999 999 999 999 999 999 999
 SDSS16100 999 0.195000 999 21.063071 -0.001963 -0.393465 0.350767 0.051514 0.037506 999 999 54048.043077 0.255320 999 999 999 999 999 999 999
 sn2001ba 999 0.029420 999 16.194760 0.002026 0.144235 0.101224 -0.123567 0.040281 999 999 52034.359133 0.146951 999 999 999 999 999 999 999
 SDSS19174 999 0.164700 999 20.515963 -0.002108 -0.752743 0.213172 0.056614 0.031243 999 999 54394.885853 0.189915 999 999 999 999 999 999 999
 SDSS2561 999 0.118130 999 19.782222 -0.001399 -0.082624 0.115460 0.039627 0.024349 999 999 53639.254022 0.145744 999 999 999 999 999 999 999
 SDSS14212 999 0.205400 999 20.910790 -0.002542 -0.339449 0.173104 -0.032368 0.031927 999 999 54012.948730 0.182859 999 999 999 999 999 999 999
 sn2006ar 999 0.022539 999 16.436144 0.000936 -1.043341 0.216640 0.082541 0.027413 999 999 53813.673898 0.144344 999 999 999 999 999 999 999
 SDSS14871 999 0.119000 999 19.434239 -0.001068 1.291124 0.111949 -0.046481 0.021556 999 999 54027.354111 0.123583 999 999 999 999 999 999 999
 04D3nc 999 0.817000 999 24.246132 0.000875 1.180674 0.449370 -0.083246 0.055934 999 999 53187.927322 0.502539 999 999 999 999 999 999 999
 SDSS15648 999 0.175020 999 21.030674 -0.002200 -1.454578 0.365514 0.114371 0.044067 999 999 54042.563941 0.291380 999 999 999 999 999 999 999
 sn1992ag 999 0.025000 999 16.298611 0.000419 0.111510 0.307994 0.126230 0.052072 999 999 48806.380929 0.583796 999 999 999 999 999 999 999
 sn1999dk 999 0.014960 999 14.828301 -0.001113 -0.013989 0.208249 0.051916 0.033326 999 999 51414.954371 0.342654 999 999 999 999 999 999 999
 05D2ck 999 0.698000 999 24.449220 0.002505 -2.628512 0.459854 -0.002789 0.067780 999 999 53416.825337 0.573115 999 999 999 999 999 999 999
 SDSS21062 999 0.147000 999 20.356174 -0.002576 0.820591 0.373627 0.013512 0.031123 999 999 54425.645097 0.301985 999 999 999 999 999 999 999
 03D4di 999 0.899000 999 24.289756 -0.002352 1.450788 0.414924 -0.081585 0.063621 999 999 52901.056747 0.536818 999 999 999 999 999 999 999
 SDSS18697 999 0.107260 999 19.222403 -0.002433 0.749840 0.119940 -0.002732 0.021182 999 999 54384.430920 0.193371 999 999 999 999 999 999 999
 SDSS17186 999 0.079440 999 19.238712 -0.001912 0.643167 0.148942 0.111372 0.024309 999 999 54353.810730 0.186809 999 999 999 999 999 999 999
 SDSS5994 999 0.187000 999 20.477427 -0.002178 0.746779 0.260495 -0.061586 0.028715 999 999 53665.740037 0.265498 999 999 999 999 999 999 999
 05D1az 999 0.842000 999 24.223688 -0.001743 1.869078 0.369701 -0.012749 0.058667 999 999 53603.190072 0.395376 999 999 999 999 999 999 999
 SDSS19968 999 0.056030 999 18.009940 -0.002140 -1.889275 0.175838 -0.035124 0.023427 999 999 54412.677285 0.102797 999 999 999 999 999 999 999
 SDSS2330 999 0.213200 999 21.772489 -0.002525 -1.884619 0.549263 0.044889 0.056503 999 999 53635.472063 0.495469 999 999 999 999 999 999 999
 SDSS14024 999 0.146000 999 20.464094 -0.002313 -1.921736 0.195563 0.037677 0.031512 999 999 54011.162000 0.205034 999 999 999 999 999 999 999
 03D4cz 999 0.695000 999 24.023989 -0.002352 -1.761766 0.379962 -0.073770 0.084379 999 999 52894.646970 0.426729 999 999 999 999 999 999 999
 SDSS15461 999 0.180000 999 20.357177 -0.002486 -0.162101 0.207904 -0.100207 0.026104 999 999 54036.984187 0.173312 999 999 999 999 999 999 999
 04D3lu 999 0.822000 999 24.338257 0.000831 -0.570241 0.226767 -0.112704 0.057620 999 999 53169.138503 0.404200 999 999 999 999 999 999 999
 SDSS10805 999 0.045420 999 17.531288 -0.002681 -0.952735 0.402860 0.056676 0.024891 999 999 53698.687665 0.125503 999 999 999 999 999 999 999
 SDSS16093 999 0.336000 999 21.862643 -0.002667 1.038871 0.740057 -0.063436 0.056023 999 999 54045.030546 0.639368 999 999 999 999 999 999 999
 05D2ec 999 0.640000 999 23.675868 0.002505 -0.204139 0.210836 -0.105568 0.052922 999 999 53440.363508 0.421905 999 999 999 999 999 999 999
 SDSS13045 999 0.182000 999 20.672434 -0.002665 -0.132803 0.470117 0.052338 0.034223 999 999 53993.290545 1.074430 999 999 999 999 999 999 999
 SDSS2916 999 0.124200 999 19.968460 -0.002261 -0.872968 0.236016 0.056837 0.034890 999 999 53643.892668 0.164503 999 999 999 999 999 999 999
 SDSS13727 999 0.221000 999 20.854364 -0.002295 1.255496 0.342561 -0.040105 0.035184 999 999 54004.880130 0.327026 999 999 999 999 999 999 999
 04D3ny 999 0.810000 999 24.205631 0.000864 -0.060792 0.492462 -0.011410 0.064345 999 999 53194.175520 0.632268 999 999 999 999 999 999 999
 SDSS6933 999 0.213000 999 20.829520 -0.002454 0.075532 0.234897 -0.019534 0.032405 999 999 53679.849084 0.231674 999 999 999 999 999 999 999
 SDSS15704 999 0.365000 999 22.059393 -0.001639 -0.043281 0.705166 -0.171315 0.055883 999 999 54043.006449 0.686437 999 999 999 999 999 999 999
 SDSS7475 999 0.322000 999 21.537530 -0.002547 0.677175 0.580212 -0.169804 0.040341 999 999 53676.478058 0.548094 999 999 999 999 999 999 999
 04D2an 999 0.620000 999 23.580595 0.002510 -0.310718 0.568331 -0.044055 0.048117 999 999 53031.153289 0.687216 999 999 999 999 999 999 999
 04D4hf 999 0.936000 999 24.768305 -0.002357 0.840212 0.637036 0.035586 0.081554 999 999 53236.712135 1.450644 999 999 999 999 999 999 999
 SDSS7779 999 0.381200 999 21.922238 -0.002108 1.321104 0.635218 -0.102435 0.042791 999 999 53675.694690 0.599933 999 999 999 999 999 999 999
 SDSS15383 999 0.312000 999 21.860383 -0.001854 0.212953 0.707839 -0.033853 0.049522 999 999 54030.555299 0.709515 999 999 999 999 999 999 999
 05D1ke 999 0.690000 999 23.597130 -0.001728 0.225525 0.256359 -0.106105 0.049318 999 999 53731.341144 0.344818 999 999 999 999 999 999 999
 sn2006ac 999 0.023106 999 16.139731 0.000775 -0.853159 0.063830 0.024330 0.021170 999 999 53781.846967 0.081261 999 999 999 999 999 999 999
 sn2001ep 999 0.013012 999 14.865763 0.000669 -0.925153 0.057482 0.047273 0.021407 999 999 52200.061250 0.083356 999 999 999 999 999 999 999
 sn2004gu 999 0.045900 999 17.424282 0.001984 1.334369 0.058328 0.078449 0.019542 999 999 53362.564413 0.116734 999 999 999 999 999 999 999
 05D3hs 999 0.664000 999 23.506121 0.000832 0.553992 0.205776 -0.167695 0.047752 999 999 53490.908758 0.274119 999 999 999 999 999 999 999
 05D2bt 999 0.680000 999 23.494504 0.002509 0.506125 0.256966 -0.152541 0.048278 999 999 53401.498700 0.245579 999 999 999 999 999 999 999
 SDSS19128 999 0.287000 999 21.593753 -0.002651 1.349073 0.601068 -0.064862 0.043819 999 999 54387.049797 0.638593 999 999 999 999 999 999 999
 SDSS15287 999 0.274000 999 21.160598 -0.002422 1.425761 0.314386 -0.072842 0.034773 999 999 54030.381874 0.329041 999 999 999 999 999 999 999
 SDSS3087 999 0.165600 999 20.257495 -0.002237 0.522599 0.188044 0.005964 0.024492 999 999 53648.887001 0.139587 999 999 999 999 999 999 999
 05D3dd 999 0.480000 999 22.951200 0.000833 -0.213518 0.125291 -0.033755 0.024403 999 999 53455.296510 0.109618 999 999 999 999 999 999 999
 SDSS12853 999 0.169400 999 20.172095 -0.002285 -0.577472 0.345452 -0.061592 0.031997 999 999 53979.292237 0.325401 999 999 999 999 999 999 999
 SDSS13099 999 0.266030 999 21.534961 -0.002609 0.350534 0.790737 -0.021500 0.046539 999 999 53995.222642 1.407062 999 999 999 999 999 999 999
 SDSS15433 999 0.221100 999 20.942458 -0.002384 -0.087186 0.258268 -0.067659 0.034767 999 999 54037.383012 0.249896 999 999 999 999 999 999 999
 SDSS14261 999 0.281000 999 21.349619 -0.002510 0.697417 0.462498 -0.030010 0.042777 999 999 54018.808518 0.367310 999 999 999 999 999 999 999
 SDSS16619 999 0.115100 999 19.170766 -0.002104 -0.180851 0.593567 -0.085470 0.027140 999 999 54069.593766 0.680678 999 999 999 999 999 999 999
 06D4cl 999 1.000000 999 24.470235 -0.002362 1.167897 0.383528 -0.088209 0.052530 999 999 53938.066610 0.592739 999 999 999 999 999 999 999
 SDSS15456 999 0.382100 999 21.980126 -0.002562 -1.213673 0.761918 -0.090520 0.060560 999 999 54030.297467 0.750965 999 999 999 999 999 999 999
 SDSS19632 999 0.308000 999 21.831255 -0.001628 0.148995 0.525623 -0.044663 0.052475 999 999 54396.709757 0.448146 999 999 999 999 999 999 999
 04D3kr 999 0.337000 999 21.965357 0.000867 1.233259 0.085899 -0.018705 0.022742 999 999 53166.004006 0.119633 999 999 999 999 999 999 999
 05D3kt 999 0.648000 999 23.971626 0.000843 -0.433709 0.194703 0.062994 0.048103 999 999 53530.947730 0.271255 999 999 999 999 999 999 999
 05D1if 999 0.763000 999 24.023542 -0.001750 0.165648 0.253162 -0.055870 0.051702 999 999 53715.504835 0.216362 999 999 999 999 999 999 999
 SDSS6558 999 0.057420 999 17.715344 -0.002219 1.053718 0.089978 -0.029574 0.023601 999 999 53675.029784 0.091427 999 999 999 999 999 999 999
 SDSS18740 999 0.157000 999 20.171619 -0.002347 -0.034559 0.125864 0.024799 0.022340 999 999 54391.806024 0.107524 999 999 999 999 999 999 999
 SDSS16211 999 0.310940 999 22.130809 -0.002668 -1.964334 0.628267 0.004612 0.070450 999 999 54041.486085 0.575735 999 999 999 999 999 999 999
 SDSS14279 999 0.045390 999 17.545856 -0.002307 -0.162455 0.047436 0.090516 0.023035 999 999 54022.045630 0.060999 999 999 999 999 999 999 999
 SDSS1112 999 0.257640 999 21.536431 -0.002643 -0.627976 0.676858 -0.026914 0.051900 999 999 53630.089234 0.677826 999 999 999 999 999 999 999
 04D4id 999 0.769000 999 24.181082 -0.002364 0.688324 0.444890 -0.175128 0.060423 999 999 53261.709249 0.712374 999 999 999 999 999 999 999
 SDSS12898 999 0.081000 999 19.018298 -0.002070 -0.068594 0.084680 0.070221 0.021202 999 999 54002.481217 0.080092 999 999 999 999 999 999 999
 05D3kx 999 0.219000 999 20.849959 0.000823 0.698638 0.062552 -0.039912 0.024026 999 999 53534.170451 0.068387 999 999 999 999 999 999 999
 SDSS16106 999 0.251200 999 21.019969 -0.002553 -0.628935 0.364679 -0.150144 0.047577 999 999 54045.424726 0.303430 999 999 999 999 999 999 999
 SDSS19008 999 0.219000 999 21.083796 -0.002549 1.082021 0.390745 0.085623 0.040036 999 999 54392.649685 0.348733 999 999 999 999 999 999 999
 06D3ed 999 0.404000 999 22.605033 0.000849 -0.391881 0.081166 -0.067661 0.022657 999 999 53876.184720 0.137638 999 999 999 999 999 999 999
 SDSS12971 999 0.235240 999 20.792233 -0.002533 1.185190 0.581719 -0.091344 0.036035 999 999 53976.636255 1.189030 999 999 999 999 999 999 999
 sn1999dq 999 0.014327 999 14.350556 -0.001700 0.872693 0.037550 0.014160 0.020951 999 999 51436.131883 0.037937 999 999 999 999 999 999 999
 SDSS12881 999 0.233000 999 21.097968 -0.002467 0.774640 0.520807 0.034980 0.038896 999 999 53980.297016 0.563737 999 999 999 999 999 999 999
 SDSS18298 999 0.119820 999 20.538241 -0.002309 -2.735859 0.290481 0.254647 0.048061 999 999 54374.330955 0.212662 999 999 999 999 999 999 999
 sn1997dg 999 0.030800 999 16.816032 -0.000670 -0.328528 0.175415 -0.043431 0.023724 999 999 50720.346312 0.285030 999 999 999 999 999 999 999
