#name mBc dmBc mB dmB x0 dx0 x1 dx1 c dc tmax dtmax z
SDSS15219 21.056951 0.114812 21.0582489059 0.0362488596811 6.800452435e-05 2.26588584207e-06 -0.146222484915 0.372589318515 -0.154042702874 0.0357550212216 54030.9688652 0.334251069082 0.248
SDSS15222 20.948974 0.115064 20.9505899383 0.0377756400321 7.50656851228e-05 2.63357318885e-06 -1.33949144162 0.278284245213 0.0110747097597 0.0340568359606 54031.1224387 0.25041345504 0.19943
SDSS15229 21.024295 0.11527 21.026103582 0.0380716030988 7.00480142737e-05 2.47034721058e-06 0.68501619944 0.287150569328 -0.0325717292254 0.0373338885578 54033.2145792 0.299611581835 0.224
SDSS15234 20.461573 0.113196 20.4626616553 0.0320861657558 0.000117450261985 3.53063385026e-06 0.900229539786 0.203829909238 0.127759974805 0.0274957362613 54032.8020587 0.198382173923 0.1363
SDSS15259 20.791873 0.11424 20.7936375744 0.0350168553662 8.67616359863e-05 2.81775586101e-06 0.419532120851 0.264210383366 -0.0146468823432 0.0327733721724 54026.3340229 0.270026919938 0.212
SDSS15287 21.161073 0.11421 21.163175599 0.0337549302584 6.17495650879e-05 1.92539736412e-06 1.42327387402 0.314103969546 -0.072993260166 0.0347710848513 54030.3807024 0.329032399994 0.274
SDSS15301 20.665733 0.114128 20.6676374357 0.034026319748 9.74575411244e-05 3.0504035327e-06 -0.338697304911 0.200401469919 -0.138561647782 0.0330381270996 54035.9115831 0.214745705161 0.248
SDSS15354 21.520886 0.119891 21.5226463166 0.050381346494 4.42774904068e-05 2.08223014938e-06 -2.26461191441 0.353955548569 0.0851934448053 0.048487909921 54024.6229729 0.494398850784 0.2221
SDSS15356 21.436954 0.118156 21.4392539327 0.045313176852 4.78813529083e-05 2.00777910814e-06 -0.707454418991 0.476229624393 -0.0494837443571 0.0450606865285 54029.2421893 0.460966843311 0.276
SDSS15365 20.504592 0.113446 20.5061410872 0.0327687807841 0.000113081690055 3.42885916664e-06 0.829710861584 0.230692749396 -0.0369103184299 0.0275007814947 54038.0742783 0.184406850596 0.178
SDSS15383 21.860479 0.12279 21.8622229797 0.0557568032324 3.24300039984e-05 1.6735311785e-06 0.212271178233 0.705383505087 -0.0339411159057 0.049517939203 54030.5554681 0.709456306071 0.312
SDSS15421 20.641715 0.112927 20.6425279464 0.0308396825529 9.97348589183e-05 2.84557616874e-06 0.17478799276 0.255854987988 -0.0436823514481 0.0260391734218 54035.1596839 0.227402296194 0.18537
SDSS15425 19.907795 0.111983 19.9076127027 0.0274398773711 0.000196207375995 4.99301959495e-06 0.971182013446 0.165339730905 -0.00610967232171 0.0227047723073 54038.0606075 0.150359200543 0.15989
SDSS15433 20.943822 0.114935 20.9454338983 0.0370885413687 7.54612019202e-05 2.58661842408e-06 -0.0882723680252 0.258087507341 -0.0677362803153 0.0347620853506 54037.3833509 0.249863205554 0.2211
