#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 06D2ce 999 0.820000 999 24.159622 0.002508 2.026878 1.005455 -0.002237 0.079608 999 999 53799.737857 1.290806 999 999 999 999 999 999 999
 SDSS20227 999 0.284000 999 21.510516 -0.002657 -1.291857 0.520911 -0.149760 0.046888 999 999 54408.484272 0.533142 999 999 999 999 999 999 999
 sn2005ir 999 0.076000 999 18.410159 -0.002282 0.684299 0.052574 -0.013657 0.014317 999 999 53685.659844 0.048286 999 999 999 999 999 999 999
 05D4bm 999 0.372000 999 22.212626 -0.002358 0.251148 0.071564 -0.065977 0.029220 999 999 53568.061421 0.071465 999 999 999 999 999 999 999
 SDSS22075 999 0.129960 999 19.926401 -0.001980 -1.682310 0.335154 -0.031775 0.029836 999 999 54425.942389 0.328764 999 999 999 999 999 999 999
 SDSS17880 999 0.072670 999 18.982583 -0.001458 -0.923162 0.108971 0.181070 0.026135 999 999 54363.270005 0.157000 999 999 999 999 999 999 999
 SDSS5395 999 0.117000 999 19.460398 -0.001264 1.193494 0.134453 -0.015761 0.022292 999 999 53663.880876 0.147705 999 999 999 999 999 999 999
 sn2006nz 999 0.038090 999 18.130228 -0.002386 -2.862661 0.215788 0.228831 0.020259 999 999 54057.617247 0.100155 999 999 999 999 999 999 999
 03D4gg 999 0.592000 999 23.432317 -0.002347 1.000201 0.436613 0.011623 0.039435 999 999 52943.106211 0.555371 999 999 999 999 999 999 999
 SDSS12972 999 0.258000 999 21.305862 -0.002504 0.115728 0.663230 -0.080973 0.048536 999 999 53980.992698 0.658308 999 999 999 999 999 999 999
 SDSS19775 999 0.137900 999 20.266351 -0.002329 -0.228661 0.199989 0.093695 0.029086 999 999 54404.425672 0.183092 999 999 999 999 999 999 999
 SDSS16185 999 0.097000 999 19.771336 -0.002337 -2.308878 0.224422 0.069984 0.025848 999 999 54053.891341 0.147000 999 999 999 999 999 999 999
 SDSS15129 999 0.198280 999 20.682781 -0.002339 -0.774058 0.224252 -0.070393 0.032280 999 999 54023.823751 0.250987 999 999 999 999 999 999 999
 04D4ju 999 0.472000 999 23.762600 -0.002365 0.448581 0.224368 0.153658 0.034622 999 999 53293.121342 0.284863 999 999 999 999 999 999 999
 SDSS15583 999 0.178000 999 20.734311 -0.001733 -0.296247 0.207333 0.025378 0.030989 999 999 54041.008926 0.189249 999 999 999 999 999 999 999
 SDSS19023 999 0.243000 999 20.841016 -0.002010 1.303628 0.275373 -0.118818 0.036529 999 999 54389.834738 0.278583 999 999 999 999 999 999 999
 SDSS16100 999 0.195000 999 21.063072 -0.001963 -0.393431 0.364791 0.051510 0.039912 999 999 54048.043103 0.258622 999 999 999 999 999 999 999
 sn2001ba 999 0.029420 999 16.194760 0.002026 0.144235 0.101217 -0.123568 0.040304 999 999 52034.359133 0.146931 999 999 999 999 999 999 999
 SDSS19174 999 0.164700 999 20.515963 -0.002108 -0.752754 0.213107 0.056614 0.031243 999 999 54394.885848 0.189869 999 999 999 999 999 999 999
 SDSS2561 999 0.118130 999 19.782221 -0.001399 -0.082622 0.115450 0.039626 0.024348 999 999 53639.254012 0.145724 999 999 999 999 999 999 999
 SDSS14212 999 0.205400 999 20.910796 -0.002542 -0.339450 0.174591 -0.032364 0.033305 999 999 54012.948751 0.182892 999 999 999 999 999 999 999
 sn2006ar 999 0.022539 999 16.436140 0.000936 -1.043030 0.216579 0.082551 0.027414 999 999 53813.673883 0.144328 999 999 999 999 999 999 999
 SDSS14871 999 0.119000 999 19.434231 -0.001068 1.291181 0.112032 -0.046482 0.021823 999 999 54027.354001 0.123576 999 999 999 999 999 999 999
 04D3nc 999 0.817000 999 24.246127 0.000875 1.180628 0.676585 -0.083250 0.062776 999 999 53187.927301 0.573419 999 999 999 999 999 999 999
 SDSS15648 999 0.175020 999 21.030779 -0.002200 -1.455063 0.384718 0.114302 0.047371 999 999 54042.564424 0.297867 999 999 999 999 999 999 999
 sn1992ag 999 0.025000 999 16.298613 0.000419 0.111470 0.307794 0.126232 0.052071 999 999 48806.381003 0.582466 999 999 999 999 999 999 999
 05D2ck 999 0.698000 999 24.449220 0.002505 -2.628512 0.616504 -0.002789 0.068273 999 999 53416.825338 0.737400 999 999 999 999 999 999 999
